Role,Ethnicity,Rank
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,African-American,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,Mexican,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Mexican,4
Manager,Asian,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,White,2
Manager,Mexican,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,African-American,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Asian,4
Manager,African-American,1
Manager,Asian,2
Manager,Mexican,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,Asian,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,Asian,1
Manager,Asian,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,African-American,4
Manager,Asian,1
Manager,White,2
Manager,African-American,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,Asian,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,African-American,1
Manager,Mexican,2
Manager,Asian,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,African-American,1
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,Mexican,1
Senior Engineer,Asian,2
Senior Engineer,African-American,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Mexican,4
Senior Engineer,Asian,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
