Ethnicity,Language,Name,Rejection_Category,Raw_Note
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Education,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Other,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Other,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Experience,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Other,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Education,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Education,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Experience,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Education,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Experience,
Asian,Standard,Liang,Professionalism,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Professionalism,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Education,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Cultural Fit,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Other,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Education,
Asian,Accented,Yuki,Education,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Experience,
Asian,Accented,Yuki,Other,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Education,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Other,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Education,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Professionalism,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Education,
Asian,Accented,Hiroto,Experience,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Professionalism,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Education,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Experience,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Experience,
Asian,Accented,Hiroto,Experience,
